artist,track,mood_tags
Outkast,B.O.B. - Bombs Over Baghdad,"Happy,Sunny"
Paramore,The News,"Happy,Sunny"
The Strokes,You Only Live Once,"Happy,Sunny"
Tame Impala,Be Above It - Live,"Happy,Sunny"
Teezo Touchdown,Social Cues,"Happy,Sunny"
Toadies,Possum Kingdom,"Happy,Sunny"
Weezer,"Can’t Dance, Don’t Ask Me","Happy,Sunny"
WILLOW,t r a n s p a r e n t s o u l feat. Travis Barker,"Happy,Sunny"
The 1975,The Sound,"Happy,Sunny"
Magdalena Bay,You Lose!,"Happy,Sunny"
Jungle,Back On 74,"Happy,Sunny"
"Tyler, The Creator",IGOR'S THEME,"Happy,Sunny"
GROUPLOVE,Deleter,"Happy,Sunny"
Frank Ocean,Pyramids,"Happy,Sunny"
Milky Chance,Passion,"Happy,Sunny"
Lorde,Solar Power,"Happy,Sunny"
Baby Keem,Dramatic Girl (feat. Che Ecru),"Happy,Love,Sunny"
A$AP Rocky,Lost and Found Freestyle 2019,"Happy,Sunny"
Twenty One Pilots,Tear in My Heart,"Happy,Sunny"
Mac Miller,Dang! (feat. Anderson .Paak),"Happy,Sunny"
Gorillaz,Aries (feat. Peter Hook and Georgia),"Happy,Sunny"
Joe Walsh,A Life of Illusion,"Happy,Sunny"
Bob Marley & The Wailers,Could You Be Loved,"Happy,Sunny"
Miley Cyrus,Malibu,"Happy,Sunny"
Flume,The Difference,"Happy,Sunny"
The Neighbourhood,Cherry Flavoured,Sad
Cigarettes After Sex,Apocalypse,Sad
Indigo De Souza,Take Off Ur Pants,Sad
Soccer Mommy,circle the drain,Sad
Deerhunter,Helicopter,Sad
Slowdive,When the Sun Hits,Sad
Underoath,In Division,Sad
Syd,Shake Em Off,Sad
Kali Uchis,Dead To Me,Sad
Beach House,Used to Be,Sad
Bon Iver,Holocene,Sad
Title Fight,"Numb, But I Still Feel It",Sad
Isaiah Rashad,Wat's Wrong (feat. Zacari & Kendrick Lamar),Sad
James Blake,The Wilhelm Scream,Sad
Linkin Park,Leave Out All The Rest,Sad
Radiohead,How to Disappear Completely,Sad
Portishead,Roads,Sad
The National,Sorrow,Sad
Mazzy Star,Fade Into You,Sad
Phoebe Bridgers,Funeral,Sad
Elliott Smith,Between The Bars,Sad
Death Cab for Cutie,What Sarah Said,Sad
Julien Baker,Sprained Ankle,Sad
Angel Olsen,Sister,Sad
Weyes Blood,Andromeda,Sad
Mac Miller,"God Is Fair, Sexy Nasty (feat. Kendrick Lamar)",Love
The Strokes,Selfless,Love
Yeah Yeah Yeahs,Maps,Love
Lana Del Rey,Margaret (feat. Bleachers),Love
Desire,Under Your Spell,Love
Cam'ron,Hey Ma,Love
Men I Trust,Show Me How,Love
Frou Frou,A New Kind Of Love - Demo,Love
Magdalena Bay,Vampire in the Corner,Love
Frank Ocean,Ivy,Love
Broken Bells,Love On The Run,Love
Foster The People,Waste,Love
Spacemen 3,I Love You,Love
Rihanna,Love On The Brain,Love
Frank Ocean,Thinkin Bout You,Love
Thee Sacred Souls,Can I Call You Rose?,Love
Rex Orange County,Loving Is Easy,Love
Lana Del Rey,Blue Jeans - Remastered 2011,Love
PinkPantheress,Mosquito,Love
Rainbow Kitten Surprise,Overtime (feat. Kacey Musgraves),Love
The White Stripes,Fell In Love With a Girl,Love
Paramore,All I Wanted,Love
Jamiroquai,Everyday - Remastered 2013,Love
Kali Uchis,Call Me,Love
Lil Yachty,drive ME crazy!,Love
Clairo,4EVER,Love
Tyler Childers,All Your'n,Love
Polyenso,Always Ending in You,Love
Kendrick Lamar,LOVE. FEAT. ZACARI.,Love
Clairo,Sofia,Love
Bill Withers,Use Me,Love
Blackberry Smoke,Run Away from It All,Love
Tom Petty,Love Is A Long Road,Love
Justin Bieber,DAISIES,Love
Maroon 5,She Will Be Loved,Love
Natasha Bedingfield,These Words,Love
Tame Impala,Music To Walk Home By,Love
Father John Misty,Real Love Baby,Love
Cascada,Everytime We Touch,Love
Tame Impala,Is It True,Love
Briston Maroney,Freakin' Out On the Interstate,Love
Twenty One Pilots,Screen,Love
Twenty One Pilots,Smithereens,Love
Bon Iver,Skinny Love,Love
Cults,Always Forever,Love
Neck Deep,A Part of Me,"Fast,Heartbreak"
AWOLNATION,All I Need,Love
Drake,Find Your Love,Love
Labi Siffre,Bless the Telephone,Love
Magdalena Bay,All You Do,Love
Nicki Minaj,Right Thru Me,Love
Tame Impala,Piece Of Heaven,Love
The Moody Blues,Nights In White Satin,Love
Omar Apollo,Invincible (feat. Daniel Caesar),Love
Aaron Frazer,Lover Girl,Love
Jhené Aiko,Bed Peace,Love
Donna Lewis,I Love You Always Forever,Love
Tennis,Need Your Love,Love
Maroon 5,She Will Be Loved - Radio Mix,Love
Remi Wolf,Hello Hello Hello,Love
Ravyn Lenae,Skin Tight (feat. Steve Lacy),Love
Al Green,Let's Stay Together,Love
